'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached',Inactive','Dirty','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed',Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Principale9,Cluster
144012,126424,14224,14224,108,9,5621452,29064,334600,131152,300072,156,0,67408,22840,26160,6968,268820,510,"-14,79618648","5,5235461677","-5,079646028","-3,308717715","0,2292736404","-0,26834802","-0,244067649","1,4798293293","1,8069703403",1
152272,150216,24628,24572,160,17,5609380,29920,334640,140700,300696,172,0,76620,23708,27920,7192,295288,1020,"-11,11246336","8,3298020145","-2,748218356","-0,777938512","0,0280840953","-0,256624479","-0,426433667","0,0139411198","0,2832265519",2
152272,150216,25228,25208,160,9,5604980,33336,334672,141440,304040,124,0,77472,23772,27860,7192,294324,1530,"-11,24530887","8,2047821091","-2,360738103","0,3997977035","0,5892837894","0,1679920406","-0,730957459","0,0133505583","0,214842113",3
153484,151436,26612,26468,160,9,5554656,55856,342108,149612,327972,3944,0,79596,23976,45512,7436,299332,1020,"-9,464128315","8,8796314195","-0,823481004","-0,031037769","-1,160565013","-0,67654839","-0,221999499","-2,487875426","0,58331476",4
192256,184688,43804,37084,252,93,4556800,199228,1118160,489904,916900,140,0,89384,23848,113684,7480,331764,1020,"2,7208448076","1,0912963047","0,645327188","0,2435746186","-1,044839469","0,2386844495","0,4663196554","-2,503084071","0,9805239095",5
215352,211256,61784,59384,320,160,4527764,204152,1118424,527176,908544,8,0,113144,23996,112992,7776,354616,510,"8,9922754558","5,1622527201","0,7048295126","1,0303789743","-1,607090395","-0,458717758","2,1154069897","-4,336515319","0,5225141615",6
215352,209208,61784,56616,308,161,4528840,204192,1118436,525292,908444,40,0,111128,23996,113056,7952,354892,510,"9,0773698248","5,64574605","1,5017080473","1,3469592602","-2,401101871","-0,549311064","2,622354975","-6,389120389","1,2183780469",7
172392,170340,33228,31924,200,38,4576884,188532,1117864,462556,928100,156,0,84308,23844,111084,7204,314580,510,"-0,6832394","-0,970568423","-0,00118424","-1,791748617","-0,971152039","-0,779119909","-0,493532984","-0,076915115","-0,125029514",8
189652,183324,41968,38440,244,121,4558200,196616,1118056,484104,921348,188,0,91000,23848,113856,7248,331948,510,"2,3576854897","0,4528284693","-0,513272032","-1,563696867","-0,904727037","0,4450633187","0,1673825147","0,1308690111","-0,145937982",9
186284,181188,41320,37456,240,74,4561560,194860,1118004,480048,922612,12,0,89956,23848,113640,7244,328328,510,"1,7418557377","0,135946017","-0,371095118","-1,402607486","-0,729899704","-0,443042951","-0,159801745","0,0089526526","-0,088862905",10
